CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0199,0.4532911070307347
C0001,C0194,0.4231651284643397
C0001,C0104,0.4039041620549668
C0002,C0071,0.37815729390251696
C0002,C0091,0.33160536758661086
C0002,C0030,0.3265644350596703
C0003,C0181,0.5198034483407334
C0003,C0134,0.48596164033600886
C0003,C0144,0.41041045578165347
C0004,C0070,0.50616831619486
C0004,C0132,0.44270406091005016
C0004,C0063,0.3158220121009916
C0005,C0096,0.6497333925583695
C0005,C0055,0.4205390664978393
C0005,C0192,0.35937546369146844
C0006,C0040,0.6009161618603978
C0006,C0058,0.5996157858153683
C0006,C0178,0.3784763219817965
C0007,C0079,0.5254872389778231
C0007,C0020,0.46810935161348616
C0007,C0118,0.3699889672392823
C0008,C0144,0.3979831387462507
C0008,C0088,0.33526262349051633
C0008,C0003,0.3188999634116245
C0009,C0140,0.5588536506405091
C0009,C0162,0.4956630391860325
C0009,C0062,0.48613803489771734
C0010,C0077,0.4150199346750653
C0010,C0094,0.3992256254469178
C0010,C0092,0.37100314430630343
C0011,C0135,0.49302128935648676
C0011,C0120,0.36418950933498145
C0011,C0173,0.3388956603211341
C0012,C0164,0.4445850358215263
C0012,C0052,0.41611342110024946
C0012,C0066,0.3637587697917657
C0013,C0058,0.5196087727290194
C0013,C0040,0.4830083570277592
C0013,C0169,0.43286768538363996
C0014,C0128,0.7584802224707295
C0014,C0159,0.5858214141443508
C0014,C0180,0.46236784513140927
C0015,C0036,0.6138687097555784
C0015,C0073,0.5987625643830555
C0015,C0059,0.46300716456783897
C0016,C0187,0.6481105314085922
C0016,C0064,0.46279248151535696
C0016,C0145,0.3861872658983027
C0017,C0037,0.39300588948818155
C0017,C0071,0.3587899689274817
C0017,C0183,0.34882427106764874
C0018,C0177,0.41240193602995834
C0018,C0081,0.360903078741884
C0018,C0064,0.3588069527895582
C0019,C0064,0.47914871950574356
C0019,C0083,0.4778090273633524
C0019,C0039,0.43402646632868985
C0020,C0026,0.6229044110299726
C0020,C0117,0.4997787549653634
C0020,C0007,0.46810935161348616
